SITE_NAME,DESCRIPTION,STATION_NAME,TRAMP_FARM_NAME,DATE_COLLECTED,LABORATORY_SAMPLE_NUMBER,AG-110M,AM-241,AM-241_chem,C-14,C-14_N,CE-144,CM-242,CM-243+244,CO-57,CO-58,CO-60,CR-51,CS-134,CS-137,CS-137+CS-134,EU-154,EU-155,H-3,I-125,I-129,I-131,K-40,MN-54,NB-95,NP-237,OBT,P-32,PB-210,PM-147,PO-210,PU-238,PU-239+240,PU-241,RA-226,RU-103,RU-106,S-35,SB-124,SB-125,SE-75,SR-90,TC-99,TH-228,TH-230,TH-232,TOTAL BETA,U-234,U-235,U-238,ZN-65,ZR-95
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-08-15,201631624,<0.068,<0.28,N/A,N/A,N/A,<0.36,N/A,N/A,N/A,N/A,<0.051,N/A,<0.05,<0.046,N/A,<0.16,<0.2,<3,<0.007,N/A,N/A,46?3.6,N/A,<0.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.14,<0.44,<0.2,N/A,<0.12,<0.092,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.15
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-09-05,201630989,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-10-03,201631855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-11-11,201632588,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.004?0.0042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-11-15,201634091,<0.12,<0.15,N/A,N/A,N/A,<0.52,N/A,N/A,N/A,N/A,<0.073,N/A,<0.1,<0.074,N/A,<0.23,<0.18,11?9.5,<0.008,N/A,N/A,42?3.9,N/A,<0.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.18,<0.47,0.3?0.29,N/A,<0.13,<0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.19
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-11-28,201633811,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,UMK-Unpasteurised Milk,N/A,AM07,2016-12-26,201634090,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,WHT - Wheat,N/A,CROP,2016-08-23,201630862,<0.084,<0.65,N/A,N/A,N/A,<0.49,N/A,N/A,N/A,N/A,<0.08,N/A,<0.077,<0.045,N/A,<0.15,<0.23,<4.2,<0.051,N/A,N/A,110?9.3,N/A,<0.073,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.064,<0.32,1?0.56,N/A,<0.14,<0.093,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.086
Anglia,UMK-Unpasteurised Milk,N/A,AR04,2016-01-06,201627385,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.016?0.015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anglia,UMK-Unpasteurised Milk,N/A,AR02,2016-01-18,201627527,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.056,N/A,N/A,N/A,N/A,N/A,N/A,53?4.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anglia,UMK-Unpasteurised Milk,N/A,AR04,2016-02-02,201627623,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.015?0.015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anglia,UMK-Unpasteurised Milk,N/A,AR02,2016-02-22,201628044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.048,N/A,N/A,N/A,N/A,N/A,N/A,53?4.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anglia,UMK-Unpasteurised Milk,N/A,AR04,2016-03-09,201628156,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.017?0.015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anglia,UMK-Unpasteurised Milk,N/A,AR02,2016-03-21,201628385,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.045,N/A,N/A,N/A,N/A,N/A,N/A,52?4.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anglia,UMK-Unpasteurised Milk,N/A,AR04,2016-04-12,201628932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anglia,UMK-Unpasteurised Milk,N/A,AR02,2016-04-25,201629112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.047,N/A,N/A,N/A,N/A,N/A,N/A,52?4.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.059?0.016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anglia,UMK-Unpasteurised Milk,N/A,AR04,2016-05-05,201629319,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.015?0.017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anglia,UMK-Unpasteurised Milk,N/A,AR02,2016-05-23,201629516,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.049,N/A,N/A,N/A,N/A,N/A,N/A,55?4.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anglia,UMK-Unpasteurised Milk,N/A,AR04,2016-06-08,201629753,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
